,Bahis Tipi,Tercih,Olasılıklar
0,Maç Sonucu,MS1,41
1,Maç Sonucu,MS0,34
2,Maç Sonucu,MS2,25
3,Toplam Gol Alt / Üst,0.5 ALT,15
4,Toplam Gol Alt / Üst,0.5 ÜST,85
5,Toplam Gol Alt / Üst,1.5 ALT,32
6,Toplam Gol Alt / Üst,1.5 ÜST,68
7,Toplam Gol Alt / Üst,2.5 ALT,64
8,Toplam Gol Alt / Üst,2.5 ÜST,36
9,Toplam Gol Alt / Üst,3.5 ALT,82
10,Toplam Gol Alt / Üst,3.5 ÜST,18
11,Toplam Gol Alt / Üst,4.5 ALT,94
12,Toplam Gol Alt / Üst,4.5 ÜST,6
13,Toplam Gol Alt / Üst,5.5 ALT,98
14,Toplam Gol Alt / Üst,5.5 ÜST,2
15,İlk Yarı / Maç Sonucu,1 / 1,25
16,İlk Yarı / Maç Sonucu,1 / 0,4
17,İlk Yarı / Maç Sonucu,1 / 2,3
18,İlk Yarı / Maç Sonucu,0 / 1,12
19,İlk Yarı / Maç Sonucu,0 / 0,25
20,İlk Yarı / Maç Sonucu,0 / 2,10
21,İlk Yarı / Maç Sonucu,2 / 1,4
22,İlk Yarı / Maç Sonucu,2 / 0,5
23,İlk Yarı / Maç Sonucu,2 / 2,12
24,Karşılıklı Gol,VAR,50
25,Karşılıklı Gol,YOK,50
26,İlk Yarı Alt / Üst,0.5 ALT,36
27,İlk Yarı Alt / Üst,0.5 ÜST,64
28,İlk Yarı Alt / Üst,1.5 ALT,75
29,İlk Yarı Alt / Üst,1.5 ÜST,25
30,İlk Yarı Alt / Üst,2.5 ALT,92
31,İlk Yarı Alt / Üst,2.5 ÜST,8
32,İlk Yarı Sonucu,1,32
33,İlk Yarı Sonucu,0,47
34,İlk Yarı Sonucu,2,21
35,Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Alt,9
36,Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Alt,15
37,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Alt,8
38,Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Üst,32
39,Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Üst,19
40,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Üst,17
41,Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Alt,21
42,Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Alt,32
43,Maç Sonucu ve Alt / Üst 2.5,2 ve 2.5 Alt,11
44,Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Üst,20
45,Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Üst,2
46,Maç Sonucu ve Alt / Üst 2.5,2 ve 1.5 Üst,14
47,Maç Sonucu ve Alt / Üst 3.5,1 ve 3.5 Alt,31
48,Maç Sonucu ve Alt / Üst 3.5,0 ve 3.5 Alt,32
49,Maç Sonucu ve Alt / Üst 3.5,2 ve 3.5 Alt,19
