,Bahis Tipi,Tercih,Olasılıklar,Oranlar,Değer,,,Bahis Tipi,Tercih,Olasılıklar,Oranlar,Değer,,kelly,kazanç
0,Maç Sonucu,MS1,34,"2,39","0,8126",,145,Maç Sonucu,MS2,39,"2,98","1,1622",tuttu,"8,19191919191919","24,4119191919192"
1,Maç Sonucu,MS0,27,"3,04","0,8208",,207,Maç Sonucu ve Alt / Üst 3.5,2 ve 3.5 Alt,34,"3,33","1,1322",tuttu,"5,67381974248927","18,8938197424893"
2,Maç Sonucu,MS2,39,"2,98","1,1622",,137,Maç Sonucu ve Alt / Üst 2.5,2 ve 2.5 Alt,21,"5,25","1,1025",tuttu,"2,41176470588235","12,6617647058823"
3,Toplam Gol Alt / Üst,0.5 ALT,8,"6,61","0,5288",,197,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Alt,13,"8,09","1,0517",tuttu,"0,72919605077574","5,89919605077574"
4,Toplam Gol Alt / Üst,0.5 ÜST,92,0,0,,203,Maç Sonucu ve Alt / Üst 4.5,2 ve 4.5 Alt,35,"2,95","1,0325",tuttu,"1,66666666666667","4,91666666666666"
5,Toplam Gol Alt / Üst,1.5 ALT,29,"2,58","0,7482",,193,İlk Yarı / Maç Sonucu,0 / 2,17,"6,06","1,0302",tuttu,"0,596837944664032","3,61683794466403"
6,Toplam Gol Alt / Üst,1.5 ÜST,71,"1,25","0,8875",,210,Ev Sahibi Yarı Kazanır,Hayır,56,"1,8","1,008",tuttu,"1,00000000000001","1,80000000000001"
7,Toplam Gol Alt / Üst,2.5 ALT,57,"1,45","0,8265",,174,Çifte Şans,1 ve 2,73,"1,37","1,0001",tuttu,"0,027027027027039","0,037027027027044"
8,Toplam Gol Alt / Üst,2.5 ÜST,43,"1,99","0,8557",,131,Maç Skoru,1 – 4,3,90,"2,7",yattı,"1,91011235955056",
9,Toplam Gol Alt / Üst,3.5 ALT,79,"1,09","0,8611",,146,İY/MS Skorları,1 – 1 / 1 – 2,4,43,"1,72",yattı,"1,71428571428571",
10,Toplam Gol Alt / Üst,3.5 ÜST,21,"3,6","0,756",,230,Maç Skoru,3 – 3,2,80,"1,6",yattı,"0,759493670886076",
11,Toplam Gol Alt / Üst,4.5 ALT,88,0,0,,191,İY/MS Skorları,0 – 1 / 0 – 3,2,77,"1,54",yattı,"0,710526315789474",
12,Toplam Gol Alt / Üst,4.5 ÜST,12,"7,1","0,852",,115,İY/MS Skorları,2 – 0 / 2 – 1,2,77,"1,54",yattı,"0,710526315789474",
13,Toplam Gol Alt / Üst,5.5 ALT,4,0,0,,2,İY/MS Skorları,1 – 0 / 3 – 0,3,51,"1,53",yattı,"1,06",
14,Toplam Gol Alt / Üst,5.5 ÜST,96,0,0,,195,İY/MS Skorları,0 – 2 / 0 – 2,2,69,"1,38",yattı,"0,558823529411765",
15,İlk Yarı / Maç Sonucu,1 / 1,25,"3,45","0,8625",,172,İlk Yarı Skoru,0 – 2,7,"18,9","1,323",yattı,"1,80446927374302",
16,İlk Yarı / Maç Sonucu,1 / 0,5,"13,35","0,6675",,49,Maç Skoru,5 – 0,1,130,"1,3",yattı,"0,232558139534884",
17,İlk Yarı / Maç Sonucu,1 / 2,1,"34,5","0,345",,110,Maç Skoru,2 – 4,1,130,"1,3",yattı,"0,232558139534884",
18,İlk Yarı / Maç Sonucu,0 / 1,8,"4,94","0,3952",,129,Deplasman İlk Yarı Altı/Üstü,Üst 0.5,58,"2,2","1,276",yattı,23,
19,İlk Yarı / Maç Sonucu,0 / 0,19,"3,91","0,7429",,43,İY/MS Skorları,1 – 0 / 2 – 0,7,18,"1,26",yattı,"1,52941176470588",
20,İlk Yarı / Maç Sonucu,0 / 2,17,"6,06","1,0302",,103,Hangi Takım Kaç Farkla Kazanır,Dep 3+,6,"20,85","1,251",yattı,"1,26448362720403",
21,İlk Yarı / Maç Sonucu,2 / 1,1,31,"0,31",,228,İY/MS Skorları,0 – 1 / 0 – 1,7,"16,3","1,141",yattı,"0,921568627450981",
22,İlk Yarı / Maç Sonucu,2 / 0,3,"13,55","0,4065",,45,İlk Yarı Skoru,2 – 1,4,"28,5","1,14",yattı,"0,50909090909091",
23,İlk Yarı / Maç Sonucu,2 / 2,21,"4,56","0,9576",,51,Hangi Takım Kaç Farkla Kazanır,Ev 3+,9,"12,5","1,125",yattı,"1,08695652173913",
24,Karşılıklı Gol,VAR,45,"1,72","0,774",,37,Maç Skoru,4 – 1,2,56,"1,12",yattı,"0,218181818181818",
25,Karşılıklı Gol,YOK,55,"1,64","0,902",,55,Ev Sahibi Takım Her İki Yarıyı da Kazanır mı,Evet,16,"6,86","1,0976",yattı,"1,66552901023891",
26,İlk Yarı Alt / Üst,0.5 ALT,32,"2,24","0,7168",,20,Ev Sahibi İlk Yarı Altı/Üstü,Üst 0.5,55,"1,98","1,089",yattı,"9,08163265306123",
27,İlk Yarı Alt / Üst,0.5 ÜST,68,"1,34","0,9112",,157,Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Üst,8,"13,6","1,088",yattı,"0,698412698412698",
28,İlk Yarı Alt / Üst,1.5 ALT,69,"1,17","0,8073",,183,Maç Sonucu ve Alt / Üst 3.5,0 ve 3.5 Üst,8,"13,55","1,084",yattı,"0,669322709163346",
29,İlk Yarı Alt / Üst,1.5 ÜST,31,"2,93","0,9083",,238,İlk Yarı Sonucu ve İlk Yarı Karşılıklı Gol,1 ve Var,5,"20,55","1,0275",yattı,"0,140664961636829",
30,İlk Yarı Alt / Üst,2.5 ALT,90,0,0,,90,İY/MS Skorları,0 – 0 / 1 – 2,2,51,"1,02",yattı,"0,04",
31,İlk Yarı Alt / Üst,2.5 ÜST,10,"7,3","0,73",,71,Hangi Yarıda Daha Çok Gol Olur,1,33,"3,05","1,0065",yattı,"0,317073170731705",
32,İlk Yarı Sonucu,1,31,"2,84","0,8804",,40,Deplasman Alt / Üst,1.5 Üst,37,"2,72","1,0064",yattı,"0,372093023255818",
33,İlk Yarı Sonucu,0,44,"1,82","0,8008",,60,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Üst,26,"3,86","1,0036",yattı,"0,125874125874128",
34,İlk Yarı Sonucu,2,25,"3,44","0,86",,119,İkinci Yarı Sonucu,2,33,"3,02","0,9966",,,
35,Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Alt,8,"6,93","0,5544",,196,İY/MS Skorları,0 – 1 / 0 – 2,4,"24,85","0,994",,,
36,Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Alt,8,"7,89","0,6312",,61,Çifte Şans,0 ve 2,66,"1,49","0,9834",,,
37,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Alt,13,"8,09","1,0517",,56,Maç Sonucu ve Alt / Üst 4.5,1 ve 4.5 Üst,6,"16,35","0,981",,,
38,Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Üst,26,"2,91","0,7566",,113,Hangi Takım Kaç Farkla Kazanır,Dep 1,23,"4,19","0,9637",,,
39,Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Üst,19,"4,01","0,7619",,23,İlk Yarı / Maç Sonucu,2 / 2,21,"4,56","0,9576",,,
40,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Üst,26,"3,86","1,0036",,141,Maç Skoru,0 – 3,3,"31,5","0,945",,,
41,Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Alt,17,"4,25","0,7225",,89,Toplam Gol,6+ gol,4,"23,6","0,944",,,
42,Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Alt,19,"3,32","0,6308",,46,Maç Sonucu ve Alt / Üst 2.5,2 ve 1.5 Üst,18,"5,19","0,9342",,,
43,Maç Sonucu ve Alt / Üst 2.5,2 ve 2.5 Alt,21,"5,25","1,1025",,139,Maç Skoru,0 – 2,8,"11,65","0,932",,,
44,Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Üst,17,"3,93","0,6681",,94,Ev Sahibi Takım Hangi Yarıda Daha Çok Gol Atar,Eşit,44,"2,11","0,9284",,,
45,Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Üst,8,"13,6","1,088",,235,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,0 ve Üst 1.5,12,"7,7","0,924",,,
46,Maç Sonucu ve Alt / Üst 2.5,2 ve 1.5 Üst,18,"5,19","0,9342",,236,İlk Yarı Sonucu ve İlk Yarı Altı/Üstü,2 ve Üst 1.5,9,"10,25","0,9225",,,
47,Maç Sonucu ve Alt / Üst 3.5,1 ve 3.5 Alt,26,"2,68","0,6968",,62,Ev Sahibi Alt / Üst,0.5 Alt,32,"2,87","0,9184",,,
48,Maç Sonucu ve Alt / Üst 3.5,0 ve 3.5 Alt,19,"3,31","0,6289",,140,Maç Skoru,1 – 2,10,"9,18","0,918",,,
49,Maç Sonucu ve Alt / Üst 3.5,2 ve 3.5 Alt,34,"3,33","1,1322",,239,Deplasman Yarı Kazanır,Evet,50,"1,83","0,915",,,
