,Bahis Tipi,Tercih,Olasılıklar
0,Maç Sonucu,MS1,77
1,Maç Sonucu,MS0,10
2,Maç Sonucu,MS2,11
3,Toplam Gol Alt / Üst,0.5 ALT,5
4,Toplam Gol Alt / Üst,0.5 ÜST,93
5,Toplam Gol Alt / Üst,1.5 ALT,22
6,Toplam Gol Alt / Üst,1.5 ÜST,76
7,Toplam Gol Alt / Üst,2.5 ALT,38
8,Toplam Gol Alt / Üst,2.5 ÜST,60
9,Toplam Gol Alt / Üst,3.5 ALT,63
10,Toplam Gol Alt / Üst,3.5 ÜST,35
11,Toplam Gol Alt / Üst,4.5 ALT,83
12,Toplam Gol Alt / Üst,4.5 ÜST,15
13,Toplam Gol Alt / Üst,5.5 ALT,93
14,Toplam Gol Alt / Üst,5.5 ÜST,5
15,İlk Yarı / Maç Sonucu,1 / 1,52
16,İlk Yarı / Maç Sonucu,1 / 0,2
17,İlk Yarı / Maç Sonucu,1 / 2,1
18,İlk Yarı / Maç Sonucu,0 / 1,23
19,İlk Yarı / Maç Sonucu,0 / 0,7
20,İlk Yarı / Maç Sonucu,0 / 2,5
21,İlk Yarı / Maç Sonucu,2 / 1,2
22,İlk Yarı / Maç Sonucu,2 / 0,1
23,İlk Yarı / Maç Sonucu,2 / 2,5
24,Karşılıklı Gol,VAR,36
25,Karşılıklı Gol,YOK,62
26,İlk Yarı Alt / Üst,0.5 ALT,26
27,İlk Yarı Alt / Üst,0.5 ÜST,72
28,İlk Yarı Alt / Üst,1.5 ALT,58
29,İlk Yarı Alt / Üst,1.5 ÜST,40
30,İlk Yarı Alt / Üst,2.5 ALT,90
31,İlk Yarı Alt / Üst,2.5 ÜST,8
32,İlk Yarı Sonucu,1,55
33,İlk Yarı Sonucu,0,35
34,İlk Yarı Sonucu,2,8
35,Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Alt,14
36,Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Alt,5
37,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Alt,3
