,Bahis Tipi,Tercih,Olasılıklar
0,Maç Sonucu,MS1,70
1,Maç Sonucu,MS0,20
2,Maç Sonucu,MS2,10
3,Toplam Gol Alt / Üst,0.5 ALT,3
4,Toplam Gol Alt / Üst,0.5 ÜST,97
5,Toplam Gol Alt / Üst,1.5 ALT,11
6,Toplam Gol Alt / Üst,1.5 ÜST,89
7,Toplam Gol Alt / Üst,2.5 ALT,38
8,Toplam Gol Alt / Üst,2.5 ÜST,62
9,Toplam Gol Alt / Üst,3.5 ALT,58
10,Toplam Gol Alt / Üst,3.5 ÜST,42
11,Toplam Gol Alt / Üst,4.5 ALT,77
12,Toplam Gol Alt / Üst,4.5 ÜST,23
13,Toplam Gol Alt / Üst,5.5 ALT,91
14,Toplam Gol Alt / Üst,5.5 ÜST,9
15,İlk Yarı / Maç Sonucu,1 / 1,43
16,İlk Yarı / Maç Sonucu,1 / 0,5
17,İlk Yarı / Maç Sonucu,1 / 2,4
18,İlk Yarı / Maç Sonucu,0 / 1,22
19,İlk Yarı / Maç Sonucu,0 / 0,12
20,İlk Yarı / Maç Sonucu,0 / 2,2
21,İlk Yarı / Maç Sonucu,2 / 1,5
22,İlk Yarı / Maç Sonucu,2 / 0,3
23,İlk Yarı / Maç Sonucu,2 / 2,4
24,Karşılıklı Gol,VAR,62
25,Karşılıklı Gol,YOK,38
26,İlk Yarı Alt / Üst,0.5 ALT,21
27,İlk Yarı Alt / Üst,0.5 ÜST,79
28,İlk Yarı Alt / Üst,1.5 ALT,54
29,İlk Yarı Alt / Üst,1.5 ÜST,46
30,İlk Yarı Alt / Üst,2.5 ALT,88
31,İlk Yarı Alt / Üst,2.5 ÜST,12
32,İlk Yarı Sonucu,1,52
33,İlk Yarı Sonucu,0,36
34,İlk Yarı Sonucu,2,12
35,Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Alt,6
36,Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Alt,3
37,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Alt,2
38,Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Üst,64
39,Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Üst,17
40,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Üst,8
41,Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Alt,19
42,Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Alt,16
43,Maç Sonucu ve Alt / Üst 2.5,2 ve 2.5 Alt,3
44,Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Üst,51
45,Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Üst,4
46,Maç Sonucu ve Alt / Üst 2.5,2 ve 1.5 Üst,7
47,Maç Sonucu ve Alt / Üst 3.5,1 ve 3.5 Alt,34
48,Maç Sonucu ve Alt / Üst 3.5,0 ve 3.5 Alt,16
49,Maç Sonucu ve Alt / Üst 3.5,2 ve 3.5 Alt,8
50,Maç Sonucu ve Alt / Üst 3.5,1 ve 3.5 Üst,36
51,Maç Sonucu ve Alt / Üst 3.5,0 ve 3.5 Üst,4
52,Maç Sonucu ve Alt / Üst 3.5,2 ve 3.5 Üst,2
53,Maç Sonucu ve Alt / Üst 4.5,1 ve 4.5 Alt,49
54,Maç Sonucu ve Alt / Üst 4.5,0 ve 4.5 Alt,20
55,Maç Sonucu ve Alt / Üst 4.5,2 ve 4.5 Alt,8
56,Maç Sonucu ve Alt / Üst 4.5,1 ve 4.5 Üst,21
57,Maç Sonucu ve Alt / Üst 4.5,0 ve 4.5 Üst,0
58,Maç Sonucu ve Alt / Üst 4.5,2 ve 4.5 Üst,2
59,Çifte Şans,1 ve 0,90
60,Çifte Şans,1 ve 2,80
61,Çifte Şans,0 ve 2,30
62,Ev Sahibi Alt / Üst,0.5 Alt,6
63,Ev Sahibi Alt / Üst,0.5 Üst,94
64,Ev Sahibi Alt / Üst,1.5 Alt,30
65,Ev Sahibi Alt / Üst,1.5 Üst,70
66,Ev Sahibi Alt / Üst,2.5 Alt,58
67,Ev Sahibi Alt / Üst,2.5 Üst,42
68,Deplasman Alt / Üst,0.5 Alt,35
69,Deplasman Alt / Üst,0.5 Üst,65
70,Deplasman Alt / Üst,1.5 Alt,78
71,Deplasman Alt / Üst,1.5 Üst,22
72,Deplasman Alt / Üst,2.5 Alt,97
73,Deplasman Alt / Üst,2.5 Üst,3
74,Handikaplı Maç Sonucu,1 (0:1),50
75,Handikaplı Maç Sonucu,0 (0:1),20
76,Handikaplı Maç Sonucu,2 (0:1),30
77,Handikaplı Maç Sonucu,1 (1:0),90
78,Handikaplı Maç Sonucu,0 (1:0),9
79,Handikaplı Maç Sonucu,2 (1:0),1
80,Handikaplı Maç Sonucu,1 (2:0),99
81,Handikaplı Maç Sonucu,0 (2:0),1
82,Handikaplı Maç Sonucu,2 (2:0),0
83,Handikaplı Maç Sonucu,1 (0:2),25
84,Handikaplı Maç Sonucu,0 (0:2),25
85,Handikaplı Maç Sonucu,2 (0:2),50
86,Toplam Gol,0-1 gol,11
87,Toplam Gol,2-3 gol,47
88,Toplam Gol,4-5 gol,33
89,Toplam Gol,6+ gol,9
90,Hangi Yarıda Daha Çok Gol Olur,1,28
91,Hangi Yarıda Daha Çok Gol Olur,Eşit,25
92,Hangi Yarıda Daha Çok Gol Olur,2,47
93,Ev Sahibi Takım Hangi Yarıda Daha Çok Gol Atar,1,32
94,Ev Sahibi Takım Hangi Yarıda Daha Çok Gol Atar,Eşit,26
95,Ev Sahibi Takım Hangi Yarıda Daha Çok Gol Atar,2,42
96,Deplasman Takım Hangi Yarıda Daha Çok Gol Atar,1,24
97,Deplasman Takım Hangi Yarıda Daha Çok Gol Atar,Eşit,46
98,Deplasman Takım Hangi Yarıda Daha Çok Gol Atar,2,30
99,Ev Sahibi Takım Gol Yemeden Kazanır mı?,Evet,32
100,Ev Sahibi Takım Gol Yemeden Kazanır mı?,Hayır,68
101,Deplasman Takım Gol Yemeden Kazanır mı?,Evet,3
102,Deplasman Takım Gol Yemeden Kazanır mı?,Hayır,97
103,Ev Sahibi Takım Her İki Yarıyı da Kazanır mı,Evet,27
104,Ev Sahibi Takım Her İki Yarıyı da Kazanır mı,Hayır,73
105,Deplasman Takımı Her İki Yarıyı da Kazanır mı,Evet,0
106,Deplasman Takımı Her İki Yarıyı da Kazanır mı,Hayır,100
107,İlk Yarı Çifte Şans,1 ve 0,88
108,İlk Yarı Çifte Şans,1 ve 2,64
109,İlk Yarı Çifte Şans,0 ve 2,48
110,Hangi Takım Kaç Farkla Kazanır,Ev 3+,25
111,Hangi Takım Kaç Farkla Kazanır,Ev 2,25
112,Hangi Takım Kaç Farkla Kazanır,Ev 1,20
113,Hangi Takım Kaç Farkla Kazanır,Dep 1,9
114,Hangi Takım Kaç Farkla Kazanır,Dep 2,1
115,Hangi Takım Kaç Farkla Kazanır,Dep 3+,0
116,Hangi Takım Kaç Farkla Kazanır,0,20
117,İkinci Yarı Sonucu,1,57
118,İkinci Yarı Sonucu,0,29
119,İkinci Yarı Sonucu,2,14
120,Tek / Çift,Tek,43
121,Tek / Çift,Çift,57
122,Maç Skoru,1 – 0,6
123,Maç Skoru,2 – 0,13
124,Maç Skoru,2 – 1,9
125,Maç Skoru,3 – 0,6
126,Maç Skoru,3 – 1,10
127,Maç Skoru,3 – 2,5
128,Maç Skoru,4 – 0,5
129,Maç Skoru,4 – 1,5
130,Maç Skoru,4 – 2,1
131,Maç Skoru,5 – 0,2
132,Maç Skoru,5 – 1,4
133,Maç Skoru,6 – 0,0
134,Maç Skoru,0 – 0,3
