,Bahis Tipi,Tercih,Olasılıklar
0,Maç Sonucu,MS1,32
1,Maç Sonucu,MS0,25
2,Maç Sonucu,MS2,43
3,Toplam Gol Alt / Üst,0.5 ALT,7
4,Toplam Gol Alt / Üst,0.5 ÜST,93
5,Toplam Gol Alt / Üst,1.5 ALT,32
6,Toplam Gol Alt / Üst,1.5 ÜST,68
7,Toplam Gol Alt / Üst,2.5 ALT,54
8,Toplam Gol Alt / Üst,2.5 ÜST,46
9,Toplam Gol Alt / Üst,3.5 ALT,72
10,Toplam Gol Alt / Üst,3.5 ÜST,28
11,Toplam Gol Alt / Üst,4.5 ALT,86
12,Toplam Gol Alt / Üst,4.5 ÜST,14
13,Toplam Gol Alt / Üst,5.5 ALT,90
14,Toplam Gol Alt / Üst,5.5 ÜST,10
15,İlk Yarı / Maç Sonucu,1 / 1,19
16,İlk Yarı / Maç Sonucu,1 / 0,6
17,İlk Yarı / Maç Sonucu,1 / 2,4
18,İlk Yarı / Maç Sonucu,0 / 1,11
19,İlk Yarı / Maç Sonucu,0 / 0,14
20,İlk Yarı / Maç Sonucu,0 / 2,13
21,İlk Yarı / Maç Sonucu,2 / 1,2
22,İlk Yarı / Maç Sonucu,2 / 0,5
23,İlk Yarı / Maç Sonucu,2 / 2,26
24,Karşılıklı Gol,VAR,49
25,Karşılıklı Gol,YOK,51
26,İlk Yarı Alt / Üst,0.5 ALT,32
27,İlk Yarı Alt / Üst,0.5 ÜST,68
28,İlk Yarı Alt / Üst,1.5 ALT,71
29,İlk Yarı Alt / Üst,1.5 ÜST,29
30,İlk Yarı Alt / Üst,2.5 ALT,85
31,İlk Yarı Alt / Üst,2.5 ÜST,15
32,İlk Yarı Sonucu,1,29
33,İlk Yarı Sonucu,0,38
34,İlk Yarı Sonucu,2,33
35,Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Alt,10
36,Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Alt,7
37,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Alt,15
38,Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Üst,22
39,Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Üst,18
40,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Üst,28
41,Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Alt,16
42,Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Alt,18
43,Maç Sonucu ve Alt / Üst 2.5,2 ve 2.5 Alt,20
44,Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Üst,16
45,Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Üst,7
46,Maç Sonucu ve Alt / Üst 2.5,2 ve 1.5 Üst,23
47,Maç Sonucu ve Alt / Üst 3.5,1 ve 3.5 Alt,25
48,Maç Sonucu ve Alt / Üst 3.5,0 ve 3.5 Alt,18
49,Maç Sonucu ve Alt / Üst 3.5,2 ve 3.5 Alt,29
50,Maç Sonucu ve Alt / Üst 3.5,1 ve 3.5 Üst,7
51,Maç Sonucu ve Alt / Üst 3.5,0 ve 3.5 Üst,7
52,Maç Sonucu ve Alt / Üst 3.5,2 ve 3.5 Üst,14
53,Maç Sonucu ve Alt / Üst 4.5,1 ve 4.5 Alt,29
54,Maç Sonucu ve Alt / Üst 4.5,0 ve 4.5 Alt,25
55,Maç Sonucu ve Alt / Üst 4.5,2 ve 4.5 Alt,32
56,Maç Sonucu ve Alt / Üst 4.5,1 ve 4.5 Üst,3
57,Maç Sonucu ve Alt / Üst 4.5,0 ve 4.5 Üst,0
58,Maç Sonucu ve Alt / Üst 4.5,2 ve 4.5 Üst,11
59,Çifte Şans,1 ve 0,57
60,Çifte Şans,1 ve 2,75
61,Çifte Şans,0 ve 2,68
62,Ev Sahibi Alt / Üst,0.5 Alt,33
63,Ev Sahibi Alt / Üst,0.5 Üst,67
64,Ev Sahibi Alt / Üst,1.5 Alt,63
65,Ev Sahibi Alt / Üst,1.5 Üst,37
66,Ev Sahibi Alt / Üst,2.5 Alt,89
67,Ev Sahibi Alt / Üst,2.5 Üst,11
68,Deplasman Alt / Üst,0.5 Alt,25
69,Deplasman Alt / Üst,0.5 Üst,75
70,Deplasman Alt / Üst,1.5 Alt,63
71,Deplasman Alt / Üst,1.5 Üst,37
72,Deplasman Alt / Üst,2.5 Alt,81
73,Deplasman Alt / Üst,2.5 Üst,19
74,Handikaplı Maç Sonucu,1 (0:1),14
75,Handikaplı Maç Sonucu,0 (0:1),18
76,Handikaplı Maç Sonucu,2 (0:1),68
77,Handikaplı Maç Sonucu,1 (1:0),57
78,Handikaplı Maç Sonucu,0 (1:0),23
79,Handikaplı Maç Sonucu,2 (1:0),20
80,Handikaplı Maç Sonucu,1 (2:0),80
81,Handikaplı Maç Sonucu,0 (2:0),13
82,Handikaplı Maç Sonucu,2 (2:0),7
83,Handikaplı Maç Sonucu,1 (0:2),3
84,Handikaplı Maç Sonucu,0 (0:2),11
85,Handikaplı Maç Sonucu,2 (0:2),86
86,Toplam Gol,0-1 gol,32
87,Toplam Gol,2-3 gol,40
88,Toplam Gol,4-5 gol,18
89,Toplam Gol,6+ gol,10
90,Hangi Yarıda Daha Çok Gol Olur,1,26
91,Hangi Yarıda Daha Çok Gol Olur,Eşit,28
92,Hangi Yarıda Daha Çok Gol Olur,2,46
93,Ev Sahibi Takım Hangi Yarıda Daha Çok Gol Atar,1,23
94,Ev Sahibi Takım Hangi Yarıda Daha Çok Gol Atar,Eşit,49
95,Ev Sahibi Takım Hangi Yarıda Daha Çok Gol Atar,2,28
96,Deplasman Takım Hangi Yarıda Daha Çok Gol Atar,1,21
97,Deplasman Takım Hangi Yarıda Daha Çok Gol Atar,Eşit,36
98,Deplasman Takım Hangi Yarıda Daha Çok Gol Atar,2,43
99,Ev Sahibi Takım Gol Yemeden Kazanır mı?,Evet,18
